,Topic,Category,Agencies,Dodd-Frank Section,Citation,Regulator Summary,Timeline,Final Rule,Proposed Rule / ANPR,Related Tracker Rows,Associated Rulemap,Doc ID
0,Applications by Security-Based Swap Dealers or Major Security-Based Swap Participants for Statutorily Disqualified Associated Persons to Effect or Be Involved in Effecting Security Based Swaps,Derivatives,SEC,764,"17 CFR Part 201
RIN 3235-AL76","Pursuant to Section 764(a) of Title VII of the DFA, SEC Proposed Rule of Practice 194 would provide a process for a registered security-based swap dealer or major security-based swap participant (collectively, “SBS Entity”) to make an application to the SEC for an order permitting an associated person who is subject to a statutory disqualification to effect or be involved in effecting security-based swaps on behalf of the SBS Entity. Proposed Rule of Practice 194 also would exclude an SBS Entity, subject to certain limitations, from the prohibition in Exchange Act Section 15F(b)(6) with respect to associated persons that are not natural persons (i) for a period of 30 days following the associated person becoming subject to a statutory disqualification or 30 days following the person that is subject to a statutory disqualification becoming an associated person of an SBS Entity; (ii) for a period of 180 days following the filing of a complete application under proposed Rule of Practice 194 and notice if the application and notice are filed within the same 30-day time period; and (iii) for a period of 180 days following the filing of a complete application with, or initiation of a process by, the CFTC, a SRO or a registered futures association pending a final decision with respect to an application or process with respect to the associated person for the membership, association, registration or listing as a principal, where the application has been filed or process started prior to or within the same 30- day time period and a notice has been filed with the SEC within the same 30-day time period. The proposed Rule of Practice 194 also would provide, in certain circumstances, for an extension of the temporary exclusion from the prohibition in Exchange Act Section 15F(b)(6) with respect to associated persons that are not natural persons to comply with the prohibition in Section 15F(b)(6). Finally, proposed Rule of Practice 194 would provide that, subject to certain conditions, an SBS Entity may permit an associated person that is subject to a statutory disqualification to effect or be involved in effecting security-based swaps on its behalf, without making an application pursuant to the proposed rule, where the Commission, CFTC, an SRO or a registered futures association has granted a prior application or otherwise granted relief from a statutory disqualification with respect to that associated person.","2015/10/26 - Comment Deadline for Proposed Rule
2015/08/25 - Proposed Rule",,"2015/08/05 SEC Proposed Rule Applications by Security-Based Swap Dealers or Major Security-Based Swap Participants for Statutorily Disqualified Associated Persons to Effect or Be Involved in Effecting Security Based Swaps (Comments due October 26, 2015)",547,,322
1,Definitions of “Predominantly Engaged in Financial Activities” and “Significant” Nonbank Financial Company and Bank Holding Company,Systemic Risk Regulation,Federal Reserve,102,"12 CFR Part 225
RIN 7100-AD64","The Fed is adopting this final rule to establish for purposes of Title I of the Dodd-Frank Act (1) the requirements for determining if a company is ""predominantly engaged in financial activities"" and (2) definitions of the terms ""significant nonbank financial company"" and ""significant bank holding company."" These terms are relevant to various provisions of Title I of the Dodd-Frank Act, including section 113, which authorizes the FSOC to designate a nonbank financial company for supervision by the Fed if the FSOC determines that the nonbank financial company could pose a threat to the financial stability of the United States.","2013/05/06 - Effective Date of Final Rule
2013/04/05 - Final Rule
2012/05/25 - Comment Deadline for Proposed Amendment to Proposed Rule
2012/04/10 - Proposed Amendment to Proposed Rule
2011/03/30 - Comment Deadline for Proposed Rule
2011/02/11 - Proposed Rule","2013/04/05 Fed Final Rule Definitions of ""Predominantly Engaged in Financial Activities"" and ""Significant"" Nonbank Financial Company and Bank Holding Company (Effective May 6, 2013)","2012/04/10 Fed Proposed Rule Definition of ""Predominantly Engaged In Financial Activities"" (Comments due by May 25, 2012) (Correction)
2011/02/11 Fed Proposed Rule Definitions Of ""Predominantly Engaged In Financial Activities"" And ""Significant"" Nonbank Financial Company And Bank Holding Company (Comments due by March 30, 2011)","5
6",,1
2,Implementing the Freedom of Information Act,Systemic Risk Regulation,FSOC,112,"12 CFR Part ___
RIN 4030-AA02","The Financial Stability Oversight Council issues this final rule to implement provisions of the Freedom of Information Act. This final rule implements the requirements of the FOIA by setting forth procedures for requesting access to, and making disclosures of, information contained in Council records.","2012/05/11 - Effective Date of Final Rule
2012/04/11 - Final Rule
2011/03/27 - Comment Deadline for Proposed Rule
2011/03/28 - Proposed Rule","2012/04/11 FSOC Final Rule Implementing the Freedom of Information Act (Effective May 11, 2012)","2011/03/28 FSOC Proposed Rule Implementing the Freedom of Information Act (Comments due by May 27, 2011)",16,,2
3,Authority to Require Supervision and Regulation of Certain Nonbank Financial Companies,Systemic Risk Regulation,FSOC,113,"12 CFR Part 1310
RIN 4030-AA00","Section 113 of the Dodd-Frank Act authorizes the FSOC to determine that a nonbank financial company shall be supervised by the Fed and shall be subject to prudential standards, in accordance with Title I of the Dodd-Frank Act, if the FSOC determines that material financial distress at the nonbank financial company, or the nature, scope, size, scale, concentration, interconnectedness, or mix of the activities of the nonbank financial company, could pose a threat to the financial stability of the United States.  This final rule and the interpretive guidance attached as an appendix thereto describe the manner in which the FSOC intends to apply the statutory standards and considerations, and the processes and procedures that the FSOC intends to follow, in making determinations under section 113 of the Dodd-Frank Act.","2012/05/11 - Effective Date of Final Rule and Interpretive Guidance
2012/04/11 - Final Rule and Interpretive Guidance
2011/12/19 - Comment Deadline for Reproposed Rule
2011/10/18 - Reproposed Rule
2011/02/25 - Comment Deadline for Proposed Rule
2011/01/26 - Proposed Rule
2010/11/05 - Comment Deadline for ANPR
2010/10/06 - ANPR","2012/04/11 FSOC Final Rule and Interpretive Guidance Authority to Require Supervision and Regulation of Certain Nonbank Financial Companies (Effective May 11, 2012)","2011/10/18 FSOC Proposed Rule and Proposed Interpretive Guidance Authority to Require Supervision and Regulation of Certain Nonbank Financial Companies (Comments due by December 19, 2011)
2011/01/26 FSOC Proposed Rule Authority to Require Supervision and Regulation of Certain Nonbank Financial Companies (Comments due by February 25, 2011)
2010/10/06 FSOC ANPR Authority to Require Supervision and Regulation of Certain Nonbank Financial Companies (Comments due by November 5, 2010)",17,,3
4,Capital Requirements for Supervised Institutions Significantly Engaged in Insurance Activities,Systemic Risk Regulation,Federal Reserve,"113
165",12 CFR Chapter II,"The Federal Reserve is inviting comment on an ANPR regarding approaches to regulatory capital requirements for depository institution holding companies significantly engaged in insurance activities (insurance depository institution holding companies), and nonbank financial companies that the FSOC has determined will be supervised by the Board and that have significant insurance activities (systemically important insurance companies). The Board is inviting comment on two approaches to consolidated capital requirements for these institutions: an approach that uses existing legal entity capital requirements as building blocks for insurance depository institution holding companies and a simple consolidated approach for systemically important insurance companies.","2016/09/16 - Comment Deadline for Fed ANPR
2016/06/14 - Fed ANPR",,"2016/07/25 Fed ANPR Capital Requirements for Supervised Institutions Significantly Engaged in Insurance Activities (Comment deadline extended to September 16, 2016; comments originally due by August 17, 2016)","64
65
73
75",,329
5,Supplemental Standards for Ethical Conduct for Employees of the Department of the Treasury,Office of Financial Research,"Office of Financial Research
Treasury",152(g),"12 CFR Chapter XVI
RIN 1505-AC38","The Treasury, with the concurrence of the Director of the Office of Government Ethics, is establishing a new chapter in Title 12 of the CFR to incorporate certain post-employment prohibitions that apply to employees of the Office of Financial Research (OFR). The Dodd-Frank Act provides for certain post-employment prohibitions if OFR employees have had access to transaction or position data or other business confidential information about financial entities required to report to the OFR.","2011/11/29 - Comment Deadline for Interim Final Rule
2011/09/30 - Effective Date of Interim Final Rule
2011/09/29 - Interim Final Rule","2011/09/30 - Treasury Interim Final Rule Supplemental Standards for Ethical Conduct for Employees of the Department of the Treasury (Effective September 30, 2011) (Comments due by November 29, 2011)",,43,,178
6,Assessment of Fees on Large Bank Holding Companies Supervised by the Federal Reserve Board to Cover the Expenses of the Financial Research Fund,Systemic Risk Regulation,Treasury,155,"31 CFR Part 150
RIN 1505 - AC42","The Department of the Treasury is issuing this Final Rule and Interim Final Rule to implement Section 155 of the Dodd-Frank Act, which directs the Treasury to establish by regulation an assessment schedule for bank holding companies with total consolidated assets of $50 billion or greater and nonbank financial companies supervised by the Fed to collect assessments equal to the total expenses of the OFR. Included in the OFR's expenses are expenses of the FSOC, as provided under Section 118 of the Dodd-Frank Act, and certain expenses of the FDIC, as provided under Section 210 of the Dodd-Frank Act. The portion of this rule concerning the assessment schedule for bank holding companies is issued as a Final Rule. The portion of this rule related to the assessments for nonbank financial companies supervised by the Fed is issued as an Interim Final Rule, to allow for the consideration of additional comments in conjunction with related FSOC rules.","2012/09/18 - Comment Deadline for Interim Final Rule
2012/07/20 - Effective Date of Final Rule and Interim Final Rule
2012/05/21 - Final Rule and Interim Final Rule
2012/03/05 - Comment Deadline for Proposed Rule
2012/01/03 - Proposed Rule","2012/05/21 Treasury Final Rule and Interim Final Rule Assessment of Fees on Large Bank Holding Companies and Nonbank Financial Companies Supervised by the Federal Reserve Board to Cover the Expenses of the Financial Research Fund (Effective July 20, 2012) (Comments due by September 18, 2012)","2012/01/03 Treasury Proposed Rule Assessment of Fees on Large Bank Holding Companies Supervised by the Federal Reserve Board to Cover the Expenses of the Financial Research Fund (Comments due by March 5, 2012)",57,,206
7,Risk-Based Capital Guidelines: Implementation of Capital Requirements for Global Systemically Important Bank Holding Companies,Systemic Risk Regulation,Federal Reserve,165,"12 CFR Part 217
RIN 7100 AE-26","The Federal Reserve Board is inviting public comment on a framework to establish risk-based capital surcharges for the largest, most interconnected U.S.-based bank holding companies pursuant to section 165 of the Dodd-Frank Act. The proposal is based upon the international standard adopted by the Basel Committee on Banking Supervision, modified to reflect systemic risk concerns specific to the funding structures of large U.S. bank holding companies.
The proposed framework would require a U.S. top-tier bank holding company with $50 billion or more in total consolidated assets to calculate a measure of its systemic importance and would identify a subset of those companies as global systemically important bank holding companies based on that measure. A global systemically important bank holding company would be subject to a risk-based capital surcharge that would increase its capital conservation buffer under the Board's regulatory capital rule. The proposed framework would be phased in beginning on January 1, 2016 through year-end 2018, becoming fully effective on January 1, 2019. The proposal would also revise the terminology used to identify the firms subject to the enhanced supplementary leverage ratio standards to ensure consistency of the scopes of application of both rulemakings.","2016/05/13 - Comment Deadline for Proposed Amendment to Proposed Rule
2016/04/07 - Proposed Amendment to Proposed Rule
2015/12/01 - Effective Date of Final Rule
2015/07/20 - Final Rule
2015/04/03 - Comment Deadline for Proposed Rule
2014/12/18 - Proposed Rule","2015/08/14 Fed Final Rule Regulatory Capital Rules: Implementation of Risk-Based Capital Surcharges for Global Systemically Important Bank Holding Companies (Effective December 1, 2015)","2016/04/07 - Fed Proposed Rule Risk-Based Capital Guidelines: Implementation of Capital Requirements for Global Systemically Important Bank Holding Companies (Comments due by May 13, 2016)
2014/12/18 Fed Proposed Rule Risk-Based Capital Guidelines: Implementation of Capital Requirements for Global Systemically Important Bank Holding Companies (Comment deadline extended until April 3, 2015) (Comments due by March 2, 2015)","64
65",,315
8,"Credit Exposure Reports
[DPW Note: The Proposed Rule will be addressed in two separate Final Rules.  See related row.]",Systemic Risk Regulation,"Federal Reserve
FDIC",165(d),"12 CFR Parts 225, 360
RIN 3064-AD77","The Federal Reserve and the FDIC request comment on this proposed rule that implements the requirements in Section 165(d) of the Dodd-Frank Act regarding resolution plans and credit exposure reports. Section 165(d) requires each nonbank financial company supervised by the Federal Reserve and each bank holding company with assets of $50 billion or more to report periodically to the Federal Reserve, the FDIC, and the FSOC (i) the plan of such company for rapid and orderly resolution in the event of material financial distress or failure, and (ii) the nature and extent of credit exposures of such company to significant bank holding companies and significant nonbank financial companies and the nature and extent of the credit exposures of significant bank holding companies and significant nonbank financial companies to such company.","2011/06/10 - Comment Deadline for Proposed Rule
2011/04/22 - Proposed Rule",,"2011/04/22 Fed/FDIC Proposed Rule Resolution Plans and Credit Exposure Reports Required (Comments due by June 10, 2011) (Fed Commentary Page) (FDIC Commentary Page)",68,,119
9,"Capital Plans
[DPW Note: See related Notice of Proposed Information Collection Activities.]",Systemic Risk Regulation,Federal Reserve,"165
166","12 CFR Part 225
RIN 7100-AD77",The Fed is adopting amendments to Regulation Y to require large bank holding companies to submit capital plans to the Fed on an annual basis and to require such bank holding companies to obtain approval from the Fed under certain circumstances before making a capital distribution. The rule applies only to bank holding companies with $50 billion or more of total consolidated assets.,"2014/04/15 - Effective Date of Final Rule
2014/03/11 - Final Rule
2013/11/25 - Comment Deadline for Interim Final Rule
2013/09/30 - Effective Date of Interim Final Rule
2013/09/30 - Interim Final Rule
2011/12/30 - Effective Date of Final Rule
2011/12/01 - Final Rule
2011/08/05 - Comment Deadline for Proposed Rule
2011/06/17 - Proposed Rule","2014/03/11 Fed Final Rule Regulations Y and YY: Application of the Revised Capital Framework to the Capital Plan and Stress Test Rules (Effective April 15, 2014)
2013/09/30 Fed Interim Final Rule Regulations Y and YY: Application of the Revised Capital Framework to the Capital Plan and Stress Test Rules (Effective September 30, 2013) (Comments due by November 25, 2013)
2011/12/01 Fed Final Rule Capital Plans (Effective December 30, 2011)","2011/06/17 Fed Proposed Rule Capital Plans (Comments due by August 5, 2011)",64,,140
