,original_index,item_number,document_number,volume,start_page,page_length,agency,title,action_FR_coded,phase,action,joint,publication_date,html_url,REG_DOT_GOV_DOCNO,RIN,identifier,URL,coded_on_sheet
0,0,0,2016-10961,81,32829,106,CFPB,Arbitration Agreements,Proposed rule with request for public comment.,NPR,Issuance,No,5/24/16,https://www.federalregister.gov/documents/2016/05/24/2016-10961/arbitration-agreements,CFPB-2016-0020-0001,3170-AA51,CFPB-2016-0020,https://www.regulations.gov/docket?D=CFPB-2016-0020,Dockets
1,0,0,2017-14225,82,33210,225,CFPB,Arbitration Agreements,Final rule; official interpretations.,FINAL,Issuance,No,7/19/17,https://www.federalregister.gov/documents/2017/07/19/2017-14225/arbitration-agreements,CFPB-2016-0020-6457,3170-AA51,CFPB-2016-0020,https://www.regulations.gov/docket?D=CFPB-2016-0020,Dockets
2,0,0,2017-25324,82,55500,1,CFPB,Arbitration Agreements,Final rule; CRA revocation.,FINAL,Correction,No,11/22/17,https://www.federalregister.gov/documents/2017/11/22/2017-25324/arbitration-agreements,CFPB-2016-0020-6472,3170-AA51,CFPB-2016-0020,https://www.regulations.gov/docket?D=CFPB-2016-0020,Dockets
3,1,0,2015-19662,80,51683,40,SEC,Applications by Security-Based Swap Dealers or Major Security-Based Swap Participants for Statutorily Disqualified Associated Persons To Effect or Be Involved in Effecting Security-Based Swaps,Proposed rule.,NPR,Issuance,No,8/25/15,https://www.federalregister.gov/documents/2015/08/25/2015-19662/applications-by-security-based-swap-dealers-or-major-security-based-swap-participants-for,SEC-2015-1416-0001,,S7-14-15,https://www.sec.gov/comments/s7-14-15/s71415.shtml,Documents
4,2,0,2016-20745,81,59551,31,CFTC,Whistleblower Awards Process,Notice of proposed rulemaking.,NPR,Issuance,No,8/30/16,https://www.federalregister.gov/documents/2016/08/30/2016-20745/whistleblower-awards-process,CFTC-2016-0073-0001,3038-AE50,1733,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1733,Documents
5,2,1,2017-10801,82,24487,35,CFTC,Whistleblower Awards Process,Final rule.,FINAL,Issuance,No,5/30/17,https://www.federalregister.gov/documents/2017/05/30/2017-10801/whistleblower-awards-process,CFTC-2017-0032-0001,3038-AE50,1733,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1733,Documents
6,3,0,2011-2978,76,7731,10,FRS,Definitions of “Predominantly Engaged in Financial Activities” and “Significant” Nonbank Financial Company and Bank Holding Company,Notice of proposed rulemaking and request for comment.,NPR,Issuance,No,2/11/11,https://www.federalregister.gov/documents/2011/02/11/2011-2978/definitions-of-predominantly-engaged-in-financial-activities-and-significant-nonbank-financial,FRS-2011-0035-0001,7100-AD64,R-1405,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1405&doc_ver=1,Documents
7,3,1,2012-8515,77,21494,12,FRS,Definition of “Predominantly Engaged in Financial Activities”,Supplemental notice of proposed rulemaking and request for comment.,NPR,Reissuance,No,4/10/12,https://www.federalregister.gov/documents/2012/04/10/2012-8515/definition-of-predominantly-engaged-in-financial-activities,FRS-2012-0103-0001,7100-AD64,R–1405,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1405&doc_ver=2,Documents
8,3,2,2013-07688,78,20755,27,FRS,Definitions of “Predominantly Engaged In Financial Activities” and “Significant” Nonbank Financial Company and Bank Holding Company,Final rule.,FINAL,Issuance,No,4/5/13,https://www.federalregister.gov/documents/2013/04/05/2013-07688/definitions-of-predominantly-engaged-in-financial-activities-and-significant-nonbank-financial,FRS-2013-0092-0001,7100-AD64,R-1405,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1405&doc_ver=1,Documents
9,4,0,2011-7005,76,17038,10,FSOC,Implementation of the Freedom of Information Act,Notice of proposed rulemaking.,NPR,Issuance,No,3/28/11,https://www.federalregister.gov/documents/2011/03/28/2011-7005/implementation-of-the-freedom-of-information-act,FSOC-2011-0004-0001,4030–AA02,FSOC-2011-0004,https://www.regulations.gov/docket?D=FSOC-2011-0004,Dockets
10,4,0,2012-8625,77,21628,10,FSOC,Implementation of the Freedom of Information Act,Final rule.,FINAL,Issuance,No,4/11/12,https://www.federalregister.gov/documents/2012/04/11/2012-8625/implementation-of-the-freedom-of-information-act,FSOC-2011-0004-0014,4030–AA02,FSOC-2011-0004,https://www.regulations.gov/docket?D=FSOC-2011-0004,Dockets
11,5,0,2010-25321,75,61653,3,FSOC,Advance Notice of Proposed Rulemaking Regarding Authority To Require Supervision and Regulation of Certain Nonbank Financial Companies,Advance notice of proposed rulemaking.,ANPR,Issuance,No,10/6/10,https://www.federalregister.gov/documents/2010/10/06/2010-25321/advance-notice-of-proposed-rulemaking-regarding-authority-to-require-supervision-and-regulation-of,FSOC-2010-0001-0001,,FSOC-2010-0001,https://www.regulations.gov/docket?D=FSOC-2010-0001,Documents
12,5,1,2011-1551,76,4555,13,FSOC,Authority To Require Supervision and Regulation of Certain Nonbank Financial Companies,Notice of proposed rulemaking.,NPR,Issuance,No,1/26/11,https://www.federalregister.gov/documents/2011/01/26/2011-1551/authority-to-require-supervision-and-regulation-of-certain-nonbank-financial-companies,FSOC-2011-0001-0001,4030-AA00,FSOC-2011-0001,https://www.regulations.gov/docket?D=FSOC-2011-0001,Documents
13,5,2,2011-26783,76,64264,20,FSOC,Authority to Require Supervision and Regulation of Certain Nonbank Financial Companies,Second notice of proposed rulemaking and proposed interpretive guidance.,NPR,Reissuance,No,10/18/11,https://www.federalregister.gov/documents/2011/10/18/2011-26783/authority-to-require-supervision-and-regulation-of-certain-nonbank-financial-companies,FSOC-2011-0001-0045,4030-AA00,FSOC-2011-0001,https://www.regulations.gov/docket?D=FSOC-2011-0001,Documents
14,5,3,2012-8627,77,21637,26,FSOC,Authority To Require Supervision and Regulation of Certain Nonbank Financial Companies,Final rule and interpretive guidance.,FINAL,Issuance,No,4/11/12,https://www.federalregister.gov/documents/2012/04/11/2012-8627/authority-to-require-supervision-and-regulation-of-certain-nonbank-financial-companies,FSOC-2011-0003-0017,4030–AA00,FSOC-2011-0003,https://www.regulations.gov/docket?D=FSOC-2011-0003,Documents
15,6,0,2016-14004,81,38631,7,FRS,Capital Requirements for Supervised Institutions Significantly Engaged in Insurance Activities,Advance notice of proposed rulemaking.,ANPR,Issuance,No,6/14/16,https://www.federalregister.gov/documents/2016/06/14/2016-14004/capital-requirements-for-supervised-institutions-significantly-engaged-in-insurance-activities,FRS-2016-0197-0001,7100-AE53,R-1539,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1539&doc_ver=1,Documents
